epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
31,0.7569422721862793,0.0010000000474974513,0.7594447731971741,0.5699999928474426,1.6302049160003662
32,0.764430582523346,0.0010000000474974513,0.7159376740455627,0.5,2.1525228023529053
33,0.7822152972221375,0.0010000000474974513,0.6954163312911987,0.7099999785423279,0.9434686303138733
34,0.793447732925415,0.0010000000474974513,0.663053572177887,0.6899999976158142,0.9085232019424438
35,0.7968798875808716,0.0010000000474974513,0.6199334263801575,0.6899999976158142,1.0351989269256592
36,0.8187207579612732,0.0010000000474974513,0.5724323987960815,0.44999998807907104,2.4712047576904297
37,0.8218408823013306,0.0010000000474974513,0.5393381118774414,0.5,2.1954808235168457
38,0.8542901873588562,0.0005000000237487257,0.4447462856769562,0.7200000286102295,0.8895902037620544
39,0.8733229041099548,0.0005000000237487257,0.4010096490383148,0.7699999809265137,0.6988517045974731
40,0.8726989030838013,0.0005000000237487257,0.3915518522262573,0.7200000286102295,0.8149223327636719
41,0.8770670890808105,0.0005000000237487257,0.3708699345588684,0.6399999856948853,1.287894606590271
42,0.8786271214485168,0.0005000000237487257,0.3656179904937744,0.7599999904632568,0.8735694289207458
43,0.9063962697982788,0.0002500000118743628,0.29907214641571045,0.7900000214576721,0.7284907698631287
44,0.9170047044754028,0.0002500000118743628,0.27994149923324585,0.7799999713897705,0.6556289792060852
45,0.9163806438446045,0.0002500000118743628,0.27765926718711853,0.7900000214576721,0.7760866284370422
46,0.9166926741600037,0.0002500000118743628,0.2581796944141388,0.7799999713897705,0.7134454846382141
47,0.9160686135292053,0.0002500000118743628,0.25646764039993286,0.7599999904632568,0.7991381883621216
48,0.9347894191741943,0.0001250000059371814,0.21831300854682922,0.800000011920929,0.5962676405906677
49,0.9297971725463867,0.0001250000059371814,0.2270565927028656,0.8100000023841858,0.5538801550865173
